Country of Asylum ISO,Country of Origin ISO,Year,Refugees,Asylum Seekers,Country of Origin,Country of Asylum,Origin Latitude,Origin Longitude,Asylum Latitude,Asylum Longitude
IN,SD,2019,69,116,Sudan,India,12.862807,30.217636,20.593684,78.96288
IN,SD,2018,78,66,Sudan,India,12.862807,30.217636,20.593684,78.96288
IN,SD,2020,65,121,Sudan,India,12.862807,30.217636,20.593684,78.96288
IN,SD,2021,63,121,Sudan,India,12.862807,30.217636,20.593684,78.96288
IN,SD,2017,89,41,Sudan,India,12.862807,30.217636,20.593684,78.96288
IN,SD,2016,78,43,Sudan,India,12.862807,30.217636,20.593684,78.96288
IQ,SD,2021,89,666,Sudan,Iraq,12.862807,30.217636,33.223191,43.679291
IQ,SD,2020,94,684,Sudan,Iraq,12.862807,30.217636,33.223191,43.679291
IQ,SD,2019,88,692,Sudan,Iraq,12.862807,30.217636,33.223191,43.679291
IQ,SD,2018,85,822,Sudan,Iraq,12.862807,30.217636,33.223191,43.679291
IQ,SD,2017,64,890,Sudan,Iraq,12.862807,30.217636,33.223191,43.679291
IQ,SD,2016,62,715,Sudan,Iraq,12.862807,30.217636,33.223191,43.679291
IS,SD,2021,7,0,Sudan,Iceland,12.862807,30.217636,64.963051,-19.020835
IS,SD,2020,7,0,Sudan,Iceland,12.862807,30.217636,64.963051,-19.020835
IS,SD,2018,5,5,Sudan,Iceland,12.862807,30.217636,64.963051,-19.020835
IS,SD,2019,6,0,Sudan,Iceland,12.862807,30.217636,64.963051,-19.020835
IT,SD,2018,1579,492,Sudan,Italy,12.862807,30.217636,41.87194,12.56738
IT,SD,2016,2003,344,Sudan,Italy,12.862807,30.217636,41.87194,12.56738
IT,SD,2019,1718,513,Sudan,Italy,12.862807,30.217636,41.87194,12.56738
IT,SD,2017,1665,546,Sudan,Italy,12.862807,30.217636,41.87194,12.56738
IT,SD,2020,1298,407,Sudan,Italy,12.862807,30.217636,41.87194,12.56738
IT,SD,2021,1252,375,Sudan,Italy,12.862807,30.217636,41.87194,12.56738
JO,SD,2021,3712,2301,Sudan,Jordan,12.862807,30.217636,30.585164,36.238414
JO,SD,2020,3562,2107,Sudan,Jordan,12.862807,30.217636,30.585164,36.238414
JO,SD,2019,2996,3015,Sudan,Jordan,12.862807,30.217636,30.585164,36.238414
JO,SD,2017,2567,1469,Sudan,Jordan,12.862807,30.217636,30.585164,36.238414
JO,SD,2016,2222,1038,Sudan,Jordan,12.862807,30.217636,30.585164,36.238414
JO,SD,2018,2788,3482,Sudan,Jordan,12.862807,30.217636,30.585164,36.238414
JP,SD,2021,16,0,Sudan,Japan,12.862807,30.217636,36.204824,138.252924
JP,SD,2017,15,0,Sudan,Japan,12.862807,30.217636,36.204824,138.252924
JP,SD,2016,15,0,Sudan,Japan,12.862807,30.217636,36.204824,138.252924
JP,SD,2020,16,0,Sudan,Japan,12.862807,30.217636,36.204824,138.252924
JP,SD,2019,15,0,Sudan,Japan,12.862807,30.217636,36.204824,138.252924
JP,SD,2018,15,0,Sudan,Japan,12.862807,30.217636,36.204824,138.252924
KE,SD,2017,2922,7086,Sudan,Kenya,12.862807,30.217636,-0.023559,37.906193
KE,SD,2018,3582,6524,Sudan,Kenya,12.862807,30.217636,-0.023559,37.906193
KE,SD,2016,2863,6443,Sudan,Kenya,12.862807,30.217636,-0.023559,37.906193
KE,SD,2019,3568,7053,Sudan,Kenya,12.862807,30.217636,-0.023559,37.906193
KE,SD,2020,3998,6111,Sudan,Kenya,12.862807,30.217636,-0.023559,37.906193
KE,SD,2021,4242,6097,Sudan,Kenya,12.862807,30.217636,-0.023559,37.906193
KR,SD,2018,19,36,Sudan,South Korea,12.862807,30.217636,35.907757,127.766922
KR,SD,2020,31,62,Sudan,South Korea,12.862807,30.217636,35.907757,127.766922
KR,SD,2021,31,53,Sudan,South Korea,12.862807,30.217636,35.907757,127.766922
KR,SD,2016,10,81,Sudan,South Korea,12.862807,30.217636,35.907757,127.766922
KR,SD,2019,21,47,Sudan,South Korea,12.862807,30.217636,35.907757,127.766922
KR,SD,2017,12,36,Sudan,South Korea,12.862807,30.217636,35.907757,127.766922
KW,SD,2020,0,17,Sudan,Kuwait,12.862807,30.217636,29.31166,47.481766
KW,SD,2019,0,20,Sudan,Kuwait,12.862807,30.217636,29.31166,47.481766
KW,SD,2016,0,16,Sudan,Kuwait,12.862807,30.217636,29.31166,47.481766
KW,SD,2021,0,17,Sudan,Kuwait,12.862807,30.217636,29.31166,47.481766
KW,SD,2017,0,19,Sudan,Kuwait,12.862807,30.217636,29.31166,47.481766
KW,SD,2018,0,17,Sudan,Kuwait,12.862807,30.217636,29.31166,47.481766
LB,SD,2016,695,946,Sudan,Lebanon,12.862807,30.217636,33.854721,35.862285
LB,SD,2017,705,716,Sudan,Lebanon,12.862807,30.217636,33.854721,35.862285
LB,SD,2019,641,1561,Sudan,Lebanon,12.862807,30.217636,33.854721,35.862285
LB,SD,2018,668,1060,Sudan,Lebanon,12.862807,30.217636,33.854721,35.862285
LB,SD,2020,668,1341,Sudan,Lebanon,12.862807,30.217636,33.854721,35.862285
LB,SD,2021,693,1161,Sudan,Lebanon,12.862807,30.217636,33.854721,35.862285
LK,SD,2021,5,5,Sudan,Sri Lanka,12.862807,30.217636,7.873054,80.771797
