Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Venezuelans displaced abroad,Stateless persons,Others of concern
2021,United States of America,USA,Belgium,BEL,0,12,0,,0,0
2021,United States of America,USA,Brazil,BRA,0,57,0,,0,0
2021,United States of America,USA,Canada,CAN,371,789,0,,0,0
2021,United States of America,USA,Chile,CHL,0,5,0,,0,0
2021,United States of America,USA,Costa Rica,CRI,5,37,0,,0,0
2021,United States of America,USA,Ecuador,ECU,8,0,0,,0,0
2021,United States of America,USA,Finland,FIN,0,6,0,,0,0
2021,United States of America,USA,France,FRA,0,5,0,,0,0
2021,United States of America,USA,United Kingdom of Great Britain and Northern Ireland,GBR,65,108,0,,0,0
2021,United States of America,USA,Germany,DEU,125,22,0,,0,0
2021,United States of America,USA,Croatia,HRV,0,5,0,,0,0
2021,United States of America,USA,Ireland,IRL,0,21,0,,0,0
2021,United States of America,USA,Italy,ITA,5,5,0,,0,0
2021,United States of America,USA,Jordan,JOR,0,0,0,,0,7
2021,United States of America,USA,Rep. of Korea,KOR,0,5,0,,0,0
2021,United States of America,USA,Mexico,MEX,36,104,0,,0,0
2021,United States of America,USA,Malaysia,MYS,8,0,0,,0,0
2021,United States of America,USA,Netherlands,NLD,31,5,0,,0,0
2021,United States of America,USA,New Zealand,NZL,0,5,0,,0,0
2021,United States of America,USA,Peru,PER,0,5,0,,0,0
2021,United States of America,USA,Philippines,PHL,0,5,0,,0,0
2021,United States of America,USA,Russian Federation,RUS,5,0,0,,0,0
2021,United States of America,USA,El Salvador,SLV,5,0,0,,0,0
2021,United States of America,USA,Spain,ESP,17,90,0,,0,0
2021,United States of America,USA,Sweden,SWE,21,10,0,,0,0
2021,United States of America,USA,Switzerland,CHE,0,5,0,,0,0
2021,Uzbekistan,UZB,Albania,ALB,5,0,0,,0,0
2021,Uzbekistan,UZB,Egypt,EGY,0,12,0,,0,0
2021,Uzbekistan,UZB,Australia,AUS,20,50,0,,0,0
2021,Uzbekistan,UZB,Austria,AUT,48,60,0,,0,0
2021,Uzbekistan,UZB,Azerbaijan,AZE,5,0,0,,0,0
2021,Uzbekistan,UZB,Belgium,BEL,37,5,0,,0,0
2021,Uzbekistan,UZB,Brazil,BRA,0,5,0,,0,0
2021,Uzbekistan,UZB,Canada,CAN,149,20,0,,0,0
2021,Uzbekistan,UZB,Cyprus,CYP,5,7,0,,0,0
2021,Uzbekistan,UZB,Czechia,CZE,54,5,0,,0,0
2021,Uzbekistan,UZB,Denmark,DNK,9,5,0,,0,0
2021,Uzbekistan,UZB,Ecuador,ECU,5,0,0,,0,0
2021,Uzbekistan,UZB,Finland,FIN,10,0,0,,0,0
2021,Uzbekistan,UZB,France,FRA,203,21,0,,0,0
